,Train Loss
266,tensor(3.1574)
267,tensor(1.7977)
268,tensor(2.5715)
269,tensor(2.9253)
270,tensor(2.9279)
271,tensor(2.2585)
272,tensor(1.6674)
273,tensor(2.8022)
274,tensor(4.0348)
275,tensor(3.2242)
276,tensor(3.2233)
277,tensor(3.9038)
278,tensor(3.8048)
279,tensor(2.8536)
280,tensor(2.2493)
281,tensor(2.2346)
282,tensor(3.2162)
283,tensor(1.9047)
284,tensor(3.5229)
285,tensor(2.4817)
286,tensor(2.8253)
287,tensor(4.8443)
288,tensor(2.8128)
289,tensor(1.9708)
290,tensor(2.4074)
291,tensor(3.9213)
292,tensor(2.6646)
293,tensor(2.2086)
294,tensor(2.1692)
295,tensor(2.2688)
296,tensor(2.1213)
297,tensor(2.8652)
298,tensor(3.3218)
299,tensor(2.3303)
300,tensor(3.0927)
301,tensor(2.7610)
302,tensor(1.6284)
303,tensor(3.5324)
304,tensor(3.8147)
305,tensor(1.9157)
306,tensor(2.4410)
307,tensor(2.7607)
308,tensor(2.1094)
309,tensor(1.7245)
310,tensor(2.1467)
311,tensor(2.6703)
312,tensor(1.8096)
313,tensor(2.1951)
314,tensor(2.7442)
315,tensor(2.2797)
316,tensor(4.4030)
317,tensor(1.7701)
318,tensor(5.5203)
319,tensor(2.5346)
320,tensor(3.1669)
321,tensor(2.1088)
322,tensor(2.8905)
323,tensor(2.2632)
324,tensor(3.8271)
325,tensor(2.6721)
326,tensor(3.7713)
327,tensor(3.2802)
328,tensor(5.1969)
329,tensor(2.8998)
330,tensor(4.2647)
331,tensor(4.7527)
332,tensor(3.9721)
333,tensor(3.7430)
334,tensor(1.9072)
335,tensor(1.8844)
336,tensor(1.8819)
337,tensor(2.2631)
338,tensor(4.2267)
339,tensor(3.3234)
340,tensor(2.6031)
341,tensor(2.3678)
342,tensor(2.4279)
343,tensor(2.1291)
344,tensor(3.5197)
345,tensor(2.6586)
346,tensor(2.2422)
347,tensor(2.8435)
348,tensor(3.7397)
349,tensor(4.4485)
350,tensor(4.7870)
351,tensor(2.8484)
